"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;COMPUTER SCIENCE, SOFTWARE ENGINEERING;COMPUTER SCIENCE, THEORY & METHODS;CONSTRUCTION & BUILDING TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","11,654","8.7","Q1","1.6","8.82"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","11,654","8.7","Q1","1.6","8.82"%,
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","1568-4946","1872-9681","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","47,363","8.7","Q1","1.57","4.8"%,
"Journal of Cheminformatics","J CHEMINFORMATICS","1758-2946","1758-2946","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8,343","8.6","Q1","1.5","100"%,
"COMPUTERS AND ELECTRONICS IN AGRICULTURE","COMPUT ELECTRON AGR","0168-1699","1872-7107","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","31,979","8.3","Q1","1.93","14.55"%,
"Developments in the Built Environment","DEV BUILT ENVIRON","N/A","2666-1659","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","515","8.2","Q1","1.23","92.86"%,
"IEEE Transactions on Services Computing","IEEE T SERV COMPUT","1939-1374","1939-1374","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","5,846","8.1","Q1","2.96","5.28"%,
"Journal of Big Data","J BIG DATA-GER","N/A","2196-1115","COMPUTER SCIENCE, THEORY & METHODS - SCIE","6,668","8.1","Q1","2.4","99.49"%,
"Computers & Industrial Engineering","COMPUT IND ENG","0360-8352","1879-0550","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","32,278","7.9","Q1","1.31","5.24"%,
"Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","WIRES DATA MIN KNOWL","1942-4787","1942-4795","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,750","7.8","Q1","0.72","12.21"%,
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","2168-2194","2168-2208","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","15,055","7.7","Q1","1.78","14.98"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","21,417","7.7","Q1","1.63","16.08"%,
"Future Generation Computer Systems-The International Journal of eScience","FUTURE GENER COMP SY","0167-739X","1872-7115","COMPUTER SCIENCE, THEORY & METHODS - SCIE","27,413","7.5","Q1","2.15","10.19"%,
"IEEE TRANSACTIONS ON SOFTWARE ENGINEERING","IEEE T SOFTWARE ENG","0098-5589","1939-3520","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","10,252","7.4","Q1","2.42","13.72"%,
"Construction and Building Materials","CONSTR BUILD MATER","0950-0618","1879-0526","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","203,973","7.4","Q1","1.43","7.1"%,
"BUILDING AND ENVIRONMENT","BUILD ENVIRON","0360-1323","1873-684X","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","53,430","7.4","Q1","1.23","15.95"%,
"IEEE Transactions on Dependable and Secure Computing","IEEE T DEPEND SECURE","1545-5971","1941-0018","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","6,444","7.3","Q1","2.23","14.21"%,
"IEEE TRANSACTIONS ON MULTIMEDIA","IEEE T MULTIMEDIA","1520-9210","1941-0077","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","14,802","7.3","Q1","1.94","4.55"%,
"IEEE Transactions on Big Data","IEEE T BIG DATA","2332-7790","2332-7790","COMPUTER SCIENCE, THEORY & METHODS - SCIE","2,214","7.2","Q1","2.45","12.69"%,
"Computational Visual Media","COMPUT VIS MEDIA","2096-0433","2096-0662","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,008","6.9","Q1","1.55","100"%,
"TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY","TUNN UNDERGR SP TECH","0886-7798","1878-4364","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","25,062","6.9","Q1","1.47","3.57"%,
"JOURNAL OF COMPUTING IN CIVIL ENGINEERING","J COMPUT CIVIL ENG","0887-3801","1943-5487","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","5,900","6.9","Q1","1.34","1.1"%,
"IEEE Transactions on Information Forensics and Security","IEEE T INF FOREN SEC","1556-6013","1556-6021","COMPUTER SCIENCE, THEORY & METHODS - SCIE","17,939","6.8","Q1","1.89","13.3"%,
"Machine Learning-Science and Technology","MACH LEARN-SCI TECHN","N/A","2632-2153","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,535","6.8","Q1","1.18","99.36"%,
"EVOLUTIONARY COMPUTATION","EVOL COMPUT","1063-6560","1530-9304","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,808","6.8","Q1","1.04","12.7"%,
"ENERGY AND BUILDINGS","ENERG BUILDINGS","0378-7788","1872-6178","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","59,418","6.7","Q1","1.2","16.02"%,
"TSINGHUA SCIENCE AND TECHNOLOGY","TSINGHUA SCI TECHNOL","1007-0214","1878-7606","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,602","6.6","Q1","1.57","100"%,
"IEEE Transactions on Cloud Computing","IEEE T CLOUD COMPUT","2168-7161","2168-7161","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,968","6.5","Q1","2.46","9.24"%,
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","1069-2509","1875-8835","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","906","6.5","Q1","1.28","5.56"%,
"Patterns","PATTERNS","2666-3899","2666-3899","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1,449","6.5","N/A","1.03","93.37"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","1067-5027","1527-974X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","15,068","6.4","Q1","1.65","30.38"%,
"Journal of Building Engineering","J BUILD ENG","N/A","2352-7102","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","27,082","6.4","Q1","1.34","7.43"%,
"Mathematical Programming Computation","MATH PROGRAM COMPUT","1867-2949","1867-2957","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,614","6.3","Q1","3.19","36.92"%,
"ACM TRANSACTIONS ON GRAPHICS","ACM T GRAPHIC","0730-0301","1557-7368","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","29,362","6.2","Q1","2.12","0"%,
"COMPUTER PHYSICS COMMUNICATIONS","COMPUT PHYS COMMUN","0010-4655","1879-2944","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","28,558","6.2","Q1","1.66","32.28"%,
"Case Studies in Construction Materials","CASE STUD CONSTR MAT","2214-5095","2214-5095","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","6,876","6.2","Q1","1.07","84.34"%,
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","0169-2607","1872-7565","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","18,292","6.1","Q1","1.34","15.14"%,
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","0169-2607","1872-7565","COMPUTER SCIENCE, THEORY & METHODS - SCIE","18,292","6.1","Q1","1.34","15.14"%,
"Electronic Commerce Research and Applications","ELECTRON COMMER R A","1567-4223","1873-7846","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","5,545","6","Q1","1.26","4.35"%,
"IEEE TRANSACTIONS ON RELIABILITY","IEEE T RELIAB","0018-9529","1558-1721","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","8,009","5.9","Q1","1.51","7.18"%,
"INFORMATION SYSTEMS FRONTIERS","INFORM SYST FRONT","1387-3326","1572-9419","COMPUTER SCIENCE, THEORY & METHODS - SCIE","5,053","5.9","Q1","1.47","29.36"%,
"IEEE Open Journal of the Computer Society","IEEE OPEN J COMP SOC","N/A","2644-1268","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","312","5.9","N/A","0.95","94.67"%,
"IEEE Open Journal of the Computer Society","IEEE OPEN J COMP SOC","N/A","2644-1268","COMPUTER SCIENCE, THEORY & METHODS - ESCI","312","5.9","N/A","0.95","94.67"%,
"Journal of Statistical Software","J STAT SOFTW","1548-7660","1548-7660","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","43,863","5.8","Q1","2.02","94.59"%,
"INDOOR AIR","INDOOR AIR","0905-6947","1600-0668","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","9,226","5.8","Q1","0.98","76.66"%,
"Blockchain-Research and Applications","BLOCKCHAIN-RES APPL","2096-7209","2096-7209","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","219","5.6","N/A","1.33","93.94"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","31,925","5.6","Q2","1.32","11.1"%,
"International Journal of Multimedia Information Retrieval","INT J MULTIMED INF R","2192-6611","2192-662X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","565","5.6","Q1","0.74","13.75"%,
"Journal of Grid Computing","J GRID COMPUT","1570-7873","1572-9184","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,215","5.5","Q1","1.19","18.12"%,
"Building Simulation","BUILD SIMUL-CHINA","1996-3599","1996-8744","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","3,752","5.5","Q1","0.86","7.69"%,
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","IND MANAGE DATA SYST","0263-5577","1758-5783","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8,035","5.5","Q2","0.84","1.57"%,
"Structural Control & Health Monitoring","STRUCT CONTROL HLTH","1545-2255","1545-2263","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","8,291","5.4","Q1","1.18","81.15"%,
"ACM Transactions on Internet Technology","ACM T INTERNET TECHN","1533-5399","1557-6051","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,909","5.3","Q1","1.56","0.4"%,
"IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS","IEEE T PARALL DISTR","1045-9219","1558-2183","COMPUTER SCIENCE, THEORY & METHODS - SCIE","11,309","5.3","Q1","1.36","16.33"%,
"COMPUTERS AND GEOTECHNICS","COMPUT GEOTECH","0266-352X","1873-7633","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","19,909","5.3","Q2","1.32","8.79"%,
"CONNECTION SCIENCE","CONNECT SCI","0954-0091","1360-0494","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,293","5.3","Q1","0.94","63.64"%,
"HUMAN-COMPUTER INTERACTION","HUM-COMPUT INTERACT","0737-0024","1532-7051","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,984","5.3","Q1","0.89","29.41"%,
"IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS","IEEE T VIS COMPUT GR","1077-2626","1941-0506","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","16,688","5.2","Q1","1.65","10.14"%,
"ACM Transactions on Multimedia Computing Communications and Applications","ACM T MULTIM COMPUT","1551-6857","1551-6865","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,006","5.1","Q1","1.24","0"%,
"ACM Transactions on Multimedia Computing Communications and Applications","ACM T MULTIM COMPUT","1551-6857","1551-6865","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,006","5.1","Q1","1.24","0"%,
"JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT","J CONSTR ENG M","0733-9364","1943-7862","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","14,014","5.1","Q1","0.92","2.27"%,
"COMPUTER STANDARDS & INTERFACES","COMPUT STAND INTER","0920-5489","1872-7018","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,204","5","Q1","1.23","6.98"%,
"INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE","INT J ELECTRON COMM","1086-4415","1557-9301","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,168","5","Q1","1.21","4.76"%,
"Journal of Computational Design and Engineering","J COMPUT DES ENG","N/A","2288-5048","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,210","4.9","Q2","1.44","92.83"%,
"ENVIRONMENTAL MODELLING & SOFTWARE","ENVIRON MODELL SOFTW","1364-8152","1873-6726","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","18,467","4.9","Q2","0.94","40.49"%,
"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","INT J INF TECH DECIS","0219-6220","1793-6845","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,948","4.9","Q2","0.8","1.65"%,
"International Journal of Artificial Intelligence in Education","INT J ARTIF INTELL E","1560-4292","1560-4306","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1,737","4.9","N/A","0.69","31.2"%,
"ADVANCES IN ENGINEERING SOFTWARE","ADV ENG SOFTW","0965-9978","1873-5339","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","11,672","4.8","Q2","1.21","11.08"%,
