"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;COMPUTER SCIENCE, SOFTWARE ENGINEERING;COMPUTER SCIENCE, THEORY & METHODS;CONSTRUCTION & BUILDING TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Frontiers of Computer Science","FRONT COMPUT SCI-CHI","2095-2228","2095-2236","COMPUTER SCIENCE, THEORY & METHODS - SCIE","2,035","4.2","Q1","0.7","0.37"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","0924-8463","1572-8382","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","943","4.1","Q2","1.8","40.66"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","0894-4393","1552-8286","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","3,645","4.1","Q2","1.41","16.72"%,
"Computers and Concrete","COMPUT CONCRETE","1598-8198","1598-818X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,286","4.1","Q2","1.34","0"%,
"Computers and Concrete","COMPUT CONCRETE","1598-8198","1598-818X","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","2,286","4.1","Q2","1.34","0"%,
"JOURNAL OF COMPUTATIONAL PHYSICS","J COMPUT PHYS","0021-9991","1090-2716","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","66,635","4.1","Q2","1.23","34.79"%,
"EMPIRICAL SOFTWARE ENGINEERING","EMPIR SOFTW ENG","1382-3256","1573-7616","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","4,699","4.1","Q2","1.13","35.54"%,
"Journal of Constructional Steel Research","J CONSTR STEEL RES","0143-974X","1873-5983","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","23,304","4.1","Q2","0.9","4.76"%,
"JOURNAL OF STRUCTURAL ENGINEERING","J STRUCT ENG","0733-9445","1943-541X","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","28,641","4.1","Q2","0.81","2.7"%,
"INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","INT J COMPUT INTEG M","0951-192X","1362-3052","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","3,247","4.1","Q2","0.8","12.59"%,
"SOFT COMPUTING","SOFT COMPUT","1432-7643","1433-7479","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","20,745","4.1","Q2","0.73","4.4"%,
"FUZZY SETS AND SYSTEMS","FUZZY SET SYST","0165-0114","1872-6801","COMPUTER SCIENCE, THEORY & METHODS - SCIE","19,112","3.9","Q1","1.92","5.79"%,
"INFORMATION AND SOFTWARE TECHNOLOGY","INFORM SOFTWARE TECH","0950-5849","1873-6025","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","7,026","3.9","Q2","1","17.75"%,
"STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION","STRUCT MULTIDISCIP O","1615-147X","1615-1488","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","14,507","3.9","Q2","0.99","14.31"%,
"SCIENTOMETRICS","SCIENTOMETRICS","0138-9130","1588-2861","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","20,613","3.9","Q2","0.86","26.71"%,
"MULTIMEDIA SYSTEMS","MULTIMEDIA SYST","0942-4962","1432-1882","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,843","3.9","Q1","0.84","2.03"%,
"Machine Learning and Knowledge Extraction","MACH LEARN KNOW EXTR","N/A","2504-4990","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","743","3.9","N/A","0.77","99.29"%,
"BUILDING RESEARCH AND INFORMATION","BUILD RES INF","0961-3218","1466-4321","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","4,077","3.9","Q2","0.7","13.99"%,
"JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING","J PARALLEL DISTR COM","0743-7315","1096-0848","COMPUTER SCIENCE, THEORY & METHODS - SCIE","5,147","3.8","Q2","1.15","17.22"%,
"Journal of Membrane Computing","J MEMBRANE COMPUT","2523-8906","2523-8914","COMPUTER SCIENCE, THEORY & METHODS - ESCI","402","3.8","N/A","1.08","21.43"%,
"International Journal of Pavement Engineering","INT J PAVEMENT ENG","1029-8436","1477-268X","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","6,241","3.8","Q2","1.03","4.7"%,
"PeerJ Computer Science","PEERJ COMPUT SCI","N/A","2376-5992","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,869","3.8","Q2","0.81","96.9"%,
"MATERIALS AND STRUCTURES","MATER STRUCT","1359-5997","1871-6873","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","16,983","3.8","Q2","0.73","29.1"%,
"Buildings","BUILDINGS-BASEL","N/A","2075-5309","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","8,549","3.8","Q2","0.72","99.65"%,
"IEEE Transactions on Learning Technologies","IEEE T LEARN TECHNOL","1939-1382","1939-1382","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,921","3.7","Q2","1.32","15.43"%,
"Journal of Informetrics","J INFORMETR","1751-1577","1875-5879","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","6,482","3.7","Q2","1.01","15.75"%,
"WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS","WORLD WIDE WEB","1386-145X","1573-1413","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,247","3.7","Q2","0.9","11.43"%,
"IEEE-ACM TRANSACTIONS ON NETWORKING","IEEE ACM T NETWORK","1063-6692","1558-2566","COMPUTER SCIENCE, THEORY & METHODS - SCIE","9,122","3.7","Q2","0.87","15.93"%,
"COMPUTING","COMPUTING","0010-485X","1436-5057","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,324","3.7","Q2","0.84","13.5"%,
"Road Materials and Pavement Design","ROAD MATER PAVEMENT","1468-0629","2164-7402","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","5,965","3.7","Q2","0.74","4.64"%,
"Big Data and Cognitive Computing","BIG DATA COGN COMPUT","N/A","2504-2289","COMPUTER SCIENCE, THEORY & METHODS - ESCI","934","3.7","N/A","0.66","100"%,
"Computers and Education Open","COMPUT EDUC OPEN","2666-5573","2666-5573","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","197","3.6","N/A","1.29","67.89"%,
"Molecular Informatics","MOL INFORM","1868-1743","1868-1751","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,047","3.6","Q3","0.87","16.76"%,
"Leukos","LEUKOS","1550-2724","1550-2716","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","723","3.6","Q2","0.86","27.96"%,
"MULTIMEDIA TOOLS AND APPLICATIONS","MULTIMED TOOLS APPL","1380-7501","1573-7721","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","29,293","3.6","Q2","0.78","5.22"%,
"MULTIMEDIA TOOLS AND APPLICATIONS","MULTIMED TOOLS APPL","1380-7501","1573-7721","COMPUTER SCIENCE, THEORY & METHODS - SCIE","29,293","3.6","Q2","0.78","5.22"%,
"IEEE MICRO","IEEE MICRO","0272-1732","1937-4143","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,643","3.6","Q2","0.77","19.61"%,
"International Journal of Interactive Multimedia and Artificial Intelligence","INT J INTERACT MULTI","1989-1660","1989-1660","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,208","3.6","Q3","0.75","100"%,
"Data-Centric Engineering","DATA-CENTRIC ENG","N/A","2632-6736","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","158","3.6","N/A","0.63","100"%,
"INDOOR AND BUILT ENVIRONMENT","INDOOR BUILT ENVIRON","1420-326X","1423-0070","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","3,715","3.6","Q2","0.54","6.83"%,
"JOURNAL OF SYSTEMS AND SOFTWARE","J SYST SOFTWARE","0164-1212","1873-1228","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","8,068","3.5","Q2","1.01","22.84"%,
"JOURNAL OF SYSTEMS AND SOFTWARE","J SYST SOFTWARE","0164-1212","1873-1228","COMPUTER SCIENCE, THEORY & METHODS - SCIE","8,068","3.5","Q2","1.01","22.84"%,
"ACM Transactions on the Web","ACM T WEB","1559-1131","1559-114X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","863","3.5","Q2","0.89","0"%,
"VISUAL COMPUTER","VISUAL COMPUT","0178-2789","1432-2315","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","4,726","3.5","Q2","0.88","8.16"%,
"SOFTWARE-PRACTICE & EXPERIENCE","SOFTWARE PRACT EXPER","0038-0644","1097-024X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,263","3.5","Q2","0.87","9.6"%,
"IACR Transactions on Symmetric Cryptology","IACR T SYMMETRIC CRY","N/A","2519-173X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - ESCI","867","3.5","N/A","0.81","65.47"%,
"IACR Transactions on Symmetric Cryptology","IACR T SYMMETRIC CRY","N/A","2519-173X","COMPUTER SCIENCE, THEORY & METHODS - ESCI","867","3.5","N/A","0.81","65.47"%,
"JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN","J COMPUT AID MOL DES","0920-654X","1573-4951","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","5,891","3.5","Q3","0.79","25.73"%,
"International Journal of Bio-Inspired Computation","INT J BIO-INSPIR COM","1758-0366","1758-0374","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,312","3.5","Q2","0.64","0"%,
"Romanian Journal of Information Science and Technology","ROM J INF SCI TECH","1453-8245","1453-8245","COMPUTER SCIENCE, THEORY & METHODS - SCIE","392","3.5","Q2","0.45","0"%,
"SoftwareX","SOFTWAREX","2352-7110","2352-7110","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","4,155","3.4","Q2","0.89","94.99"%,
"Automated Software Engineering","AUTOMAT SOFTW ENG","0928-8910","1573-7535","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","650","3.4","Q2","0.77","14.13"%,
"International Journal of Concrete Structures and Materials","INT J CONCR STRUCT M","1976-0485","2234-1315","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","2,192","3.4","Q2","0.61","99.44"%,
"Applied Computing and Geosciences","APPL COMPUT GEOSCI","2590-1974","2590-1974","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","161","3.4","N/A","0.6","86.89"%,
"IEEE SOFTWARE","IEEE SOFTWARE","0740-7459","1937-4194","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,888","3.3","Q2","0.81","12.25"%,
"Journal of Computational Science","J COMPUT SCI-NETH","1877-7503","1877-7511","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","4,471","3.3","Q3","0.79","20.52"%,
"Journal of Computational Science","J COMPUT SCI-NETH","1877-7503","1877-7511","COMPUTER SCIENCE, THEORY & METHODS - SCIE","4,471","3.3","Q2","0.79","20.52"%,
"Big Data Research","BIG DATA RES","2214-5796","2214-5796","COMPUTER SCIENCE, THEORY & METHODS - SCIE","984","3.3","Q2","0.75","13.89"%,
"JOURNAL OF SUPERCOMPUTING","J SUPERCOMPUT","0920-8542","1573-0484","COMPUTER SCIENCE, THEORY & METHODS - SCIE","8,776","3.3","Q2","0.72","6.07"%,
"EXPERT SYSTEMS","EXPERT SYST","0266-4720","1468-0394","COMPUTER SCIENCE, THEORY & METHODS - SCIE","2,894","3.3","Q2","0.66","5.94"%,
"Construction Innovation-England","CONSTR INNOV-ENGL","1471-4175","1477-0857","CONSTRUCTION & BUILDING TECHNOLOGY - ESCI","1,584","3.3","N/A","0.6","6.79"%,
"IEEE INTERNET COMPUTING","IEEE INTERNET COMPUT","1089-7801","1941-0131","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,444","3.2","Q2","0.96","13.67"%,
"IEEE MULTIMEDIA","IEEE MULTIMEDIA","1070-986X","1941-0166","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,377","3.2","Q2","0.73","4.59"%,
"IEEE MULTIMEDIA","IEEE MULTIMEDIA","1070-986X","1941-0166","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,377","3.2","Q2","0.73","4.59"%,
"International Journal of Information Security","INT J INF SECUR","1615-5262","1615-5270","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,311","3.2","Q2","0.7","23.3"%,
"International Journal of Information Security","INT J INF SECUR","1615-5262","1615-5270","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,311","3.2","Q2","0.7","23.3"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","0140-0118","1741-0444","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","7,749","3.2","Q3","0.7","11.13"%,
"SPEECH COMMUNICATION","SPEECH COMMUN","0167-6393","1872-7182","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","4,608","3.2","Q3","0.7","23.58"%,
"JOURNAL OF MATERIALS IN CIVIL ENGINEERING","J MATER CIVIL ENG","0899-1561","1943-5533","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","20,937","3.2","Q2","0.68","1.07"%,
"Structural Concrete","STRUCT CONCRETE","1464-4177","1751-7648","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","4,870","3.2","Q2","0.64","13.45"%,
"Cybersecurity","CYBERSECURITY","2523-3246","2523-3246","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","507","3.1","N/A","0.88","100"%,
"Cybersecurity","CYBERSECURITY","2523-3246","2523-3246","COMPUTER SCIENCE, SOFTWARE ENGINEERING - ESCI","507","3.1","N/A","0.88","100"%,
"COMPUTATIONAL BIOLOGY AND CHEMISTRY","COMPUT BIOL CHEM","1476-9271","1476-928X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","3,487","3.1","Q3","0.71","5.59"%,
"INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS","INT J HIGH PERFORM C","1094-3420","1741-2846","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,341","3.1","Q3","0.61","14.75"%,
"INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS","INT J HIGH PERFORM C","1094-3420","1741-2846","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,341","3.1","Q2","0.61","14.75"%,
"Frontiers in Big Data","FRONT BIG DATA","N/A","2624-909X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","772","3.1","N/A","0.54","99.29"%,
"Frontiers in Blockchain","FRONT BLOCKCHAIN","2624-7852","2624-7852","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","443","3.1","N/A","0.53","99.24"%,
"Informatics-Basel","INFORMATICS-BASEL","N/A","2227-9709","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","827","3.1","N/A","0.53","100"%,
"JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING","J COMPUT INF SCI ENG","1530-9827","1944-7078","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,516","3.1","Q3","0.52","0.4"%,
"FOUNDATIONS OF COMPUTATIONAL MATHEMATICS","FOUND COMPUT MATH","1615-3375","1615-3383","COMPUTER SCIENCE, THEORY & METHODS - SCIE","2,330","3","Q2","1.61","45.25"%,
"JOURNAL OF CRYPTOLOGY","J CRYPTOL","0933-2790","1432-1378","COMPUTER SCIENCE, THEORY & METHODS - SCIE","2,307","3","Q2","0.88","19.13"%,
"Semantic Web","SEMANT WEB","1570-0844","2210-4968","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,601","3","Q2","0.69","38.76"%,
"SAR AND QSAR IN ENVIRONMENTAL RESEARCH","SAR QSAR ENVIRON RES","1062-936X","1029-046X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,442","3","Q3","0.67","2.7"%,
"NEUROINFORMATICS","NEUROINFORMATICS","1539-2791","1559-0089","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,454","3","Q3","0.66","37.71"%,
"Visual Informatics","VIS INFORM","2468-502X","2468-502X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","416","3","N/A","0.61","95.45"%,
"Visual Informatics","VIS INFORM","2468-502X","2468-502X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - ESCI","416","3","N/A","0.61","95.45"%,
"Frontiers of Information Technology & Electronic Engineering","FRONT INFORM TECH EL","2095-9184","2095-9230","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","2,212","3","Q2","0.59","0.79"%,
"Frontiers in Built Environment","FRONT BUILT ENVIRON","N/A","2297-3362","CONSTRUCTION & BUILDING TECHNOLOGY - ESCI","2,077","3","N/A","0.49","99.5"%,
"International Journal of Information and Learning Technology","INT J INF LEARN TECH","2056-4880","2056-4880","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","515","3","N/A","0.46","17.02"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","11,686","2.9","Q3","0.81","3.31"%,
"COMPUTER APPLICATIONS IN ENGINEERING EDUCATION","COMPUT APPL ENG EDUC","1061-3773","1099-0542","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,954","2.9","Q3","0.76","7.04"%,
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","0278-0070","1937-4151","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8,132","2.9","Q3","0.68","12.08"%,
"International Journal of Software Science and Computational Intelligence-IJSSCI","INT J SOFTW SCI COMP","1942-9045","1942-9037","COMPUTER SCIENCE, SOFTWARE ENGINEERING - ESCI","231","2.9","N/A","0.62","3.19"%,
"JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE","J ORG COMP ELECT COM","1091-9392","1532-7744","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","692","2.9","Q3","0.55","2.22"%,
"International Journal of Computational Intelligence Systems","INT J COMPUT INT SYS","1875-6891","1875-6883","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,722","2.9","Q3","0.52","92.2"%,
"Architectural Engineering and Design Management","ARCHIT ENG DES MANAG","1745-2007","1752-7589","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","991","2.9","Q2","0.48","9.03"%,
"REQUIREMENTS ENGINEERING","REQUIR ENG","0947-3602","1432-010X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,063","2.8","Q2","0.74","35.06"%,
"COMPUTERS & FLUIDS","COMPUT FLUIDS","0045-7930","1879-0747","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","13,793","2.8","Q3","0.64","21.39"%,
"Earth Science Informatics","EARTH SCI INFORM","1865-0473","1865-0481","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,835","2.8","Q3","0.63","5.44"%,
"Entertainment Computing","ENTERTAIN COMPUT","1875-9521","1875-953X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","892","2.8","Q3","0.52","16.87"%,
"Entertainment Computing","ENTERTAIN COMPUT","1875-9521","1875-953X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","892","2.8","Q2","0.52","16.87"%,
"Computers","COMPUTERS","2073-431X","2073-431X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1,464","2.8","N/A","0.51","99.56"%,
"Visual Computing for Industry Biomedicine and Art","VIS COMPUT IND BIOME","N/A","2524-4442","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","369","2.8","N/A","0.43","100"%,
"International Journal of Intelligent Engineering Informatics","INT J INTELL ENG INF","1758-8715","1758-8723","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","349","2.8","N/A","0.4","0"%,
"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE","ACM T MATH SOFTWARE","0098-3500","1557-7295","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","5,103","2.7","Q2","1.18","0.81"%,
"MATHEMATICAL PROGRAMMING","MATH PROGRAM","0025-5610","1436-4646","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","14,099","2.7","Q2","1.04","28.52"%,
"MAGAZINE OF CONCRETE RESEARCH","MAG CONCRETE RES","0024-9831","1751-763X","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","5,607","2.7","Q2","0.65","0.62"%,
"JOURNAL OF HYDROINFORMATICS","J HYDROINFORM","1464-7141","1465-1734","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,428","2.7","Q3","0.62","62.84"%,
"JOURNAL OF HEURISTICS","J HEURISTICS","1381-1231","1572-9397","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,514","2.7","Q2","0.5","16.3"%,
"ACM Transactions on Autonomous and Adaptive Systems","ACM T AUTON ADAP SYS","1556-4665","1556-4703","COMPUTER SCIENCE, THEORY & METHODS - SCIE","439","2.7","Q2","0.44","0"%,
"Language Resources and Evaluation","LANG RESOUR EVAL","1574-020X","1574-0218","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,432","2.7","Q3","0.37","45"%,
"JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION","J VIS COMMUN IMAGE R","1047-3203","1095-9076","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","5,870","2.6","Q2","0.78","3.16"%,
"MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY","MATCH-COMMUN MATH CO","0340-6253","N/A","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,698","2.6","Q3","0.69","0"%,
"JOURNAL OF DATABASE MANAGEMENT","J DATABASE MANAGE","1063-8016","1533-8010","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","363","2.6","Q2","0.58","12.07"%,
"MICROPROCESSORS AND MICROSYSTEMS","MICROPROCESS MICROSY","0141-9331","1872-9436","COMPUTER SCIENCE, THEORY & METHODS - SCIE","3,614","2.6","Q2","0.57","3.24"%,
"IT Professional","IT PROF","1520-9202","1941-045X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,435","2.6","Q2","0.54","2.84"%,
"Advances in Concrete Construction","ADV CONCR CONSTR","2287-5301","2287-531X","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","1,302","2.6","Q2","0.53","0"%,
"Infrastructures","INFRASTRUCTURES-BASE","N/A","2412-3811","CONSTRUCTION & BUILDING TECHNOLOGY - ESCI","1,303","2.6","N/A","0.53","99.78"%,
"NEW GENERATION COMPUTING","NEW GENERAT COMPUT","0288-3635","1882-7055","COMPUTER SCIENCE, THEORY & METHODS - SCIE","560","2.6","Q2","0.52","25"%,
"ADVANCES IN STRUCTURAL ENGINEERING","ADV STRUCT ENG","1369-4332","2048-4011","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","5,278","2.6","Q2","0.49","1.39"%,
"Genetic Programming and Evolvable Machines","GENET PROGRAM EVOL M","1389-2576","1573-7632","COMPUTER SCIENCE, THEORY & METHODS - SCIE","602","2.6","Q2","0.47","28.13"%,
"ARTIFICIAL LIFE","ARTIF LIFE","1064-5462","1530-9185","COMPUTER SCIENCE, THEORY & METHODS - SCIE","925","2.6","Q2","0.43","16.92"%,
"Frontiers in Computer Science","FRONT COMP SCI-SWITZ","N/A","2624-9898","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","588","2.6","N/A","0.43","99.05"%,
"International Journal of Pervasive Computing and Communications","INT J PERVASIVE COMP","1742-7371","1742-738X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","450","2.6","N/A","0.42","1.14"%,
"COMPUTATIONAL GEOSCIENCES","COMPUTAT GEOSCI","1420-0597","1573-1499","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2,912","2.5","Q3","0.84","27.44"%,
"International Journal of Computer Games Technology","INT J COMPUT GAMES T","1687-7047","1687-7055","COMPUTER SCIENCE, SOFTWARE ENGINEERING - ESCI","266","2.5","N/A","0.84","100"%,
"Proceedings of the VLDB Endowment","PROC VLDB ENDOW","2150-8097","2150-8097","COMPUTER SCIENCE, THEORY & METHODS - SCIE","9,139","2.5","Q2","0.81","0"%,
"COMPUTERS & GRAPHICS-UK","COMPUT GRAPH-UK","0097-8493","1873-7684","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","3,366","2.5","Q2","0.77","19.12"%,
"Journal of Web Semantics","J WEB SEMANT","1570-8268","1873-7749","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","1,198","2.5","Q2","0.73","22.54"%,
"COMPUTER GRAPHICS FORUM","COMPUT GRAPH FORUM","0167-7055","1467-8659","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","9,304","2.5","Q2","0.7","17.01"%,
"JOURNAL OF THE ACM","J ACM","0004-5411","1557-735X","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","8,315","2.5","Q2","0.65","0"%,
"JOURNAL OF THE ACM","J ACM","0004-5411","1557-735X","COMPUTER SCIENCE, THEORY & METHODS - SCIE","8,315","2.5","Q2","0.65","0"%,
"Lighting Research & Technology","LIGHTING RES TECHNOL","1477-1535","1477-0938","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","2,312","2.5","Q3","0.63","15.05"%,
"MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING","MULTIDIM SYST SIGN P","0923-6082","1573-0824","COMPUTER SCIENCE, THEORY & METHODS - SCIE","1,248","2.5","Q2","0.59","1.91"%,
"Journal of Building Performance Simulation","J BUILD PERFORM SIMU","1940-1493","1940-1507","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","1,393","2.5","Q3","0.53","13.04"%,
"Astronomy and Computing","ASTRON COMPUT","2213-1337","2213-1345","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,151","2.5","Q3","0.52","31.32"%,
"JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES","J PERFORM CONSTR FAC","0887-3828","1943-5509","CONSTRUCTION & BUILDING TECHNOLOGY - SCIE","4,533","2.5","Q3","0.51","1.25"%,
"Journal of Simulation","J SIMUL","1747-7778","1747-7786","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","886","2.5","Q3","0.48","15.07"%,
