"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","N/A","2662-138X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","4,599","42.1","Q1","4","0.68"%,
"SusMat","SUSMAT","2766-8479","2692-4552","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","1,137","28.4","N/A","3.06","79.75"%,
"Nature Sustainability","NAT SUSTAIN","2398-9629","2398-9629","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","14,346","27.6","Q1","4.22","9.02"%,
"Nature Geoscience","NAT GEOSCI","1752-0894","1752-0908","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","37,140","18.3","Q1","4.82","10.27"%,
"Nature Aging","NATURE AGING","N/A","2662-8465","GERIATRICS & GERONTOLOGY - ESCI","1,592","16.6","N/A","2.99","19.53"%,
"One Earth","ONE EARTH","2590-3330","2590-3322","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","3,916","16.2","Q1","1.79","83.27"%,
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","RENEW SUST ENERG REV","1364-0321","1879-0690","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","168,341","15.9","Q1","1.74","20.88"%,
"Annual Review of Earth and Planetary Sciences","ANNU REV EARTH PL SC","0084-6597","1545-4495","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","10,778","14.9","Q1","1.69","4.23"%,
"EcoMat","ECOMAT","N/A","2567-3173","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","2,029","14.6","Q1","1.3","89.09"%,
"Green Energy & Environment","GREEN ENERGY ENVIRON","2096-2797","2468-0257","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","4,184","13.3","Q1","1.42","85.87"%,
"Lancet Healthy Longevity","LANCET HEALTH LONGEV","2666-7568","2666-7568","GERIATRICS & GERONTOLOGY - ESCI","1,228","13.1","N/A","2.8","81.2"%,
"AGEING RESEARCH REVIEWS","AGEING RES REV","1568-1637","1872-9649","GERIATRICS & GERONTOLOGY - SCIE","15,607","13.1","Q1","1.53","25.3"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","GEOGRAPHY, PHYSICAL - SCIE","26,107","12.7","Q1","2.58","25.94"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","26,107","12.7","Q1","2.58","25.94"%,
"Environmental Science and Ecotechnology","ENVIRON SCI ECOTECH","2666-4984","2666-4984","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","1,071","12.6","Q1","1.64","95.73"%,
"SUSTAINABLE DEVELOPMENT","SUSTAIN DEV","0968-0802","1099-1719","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","7,733","12.5","Q1","2.11","19.42"%,
"Sustainable Production and Consumption","SUSTAIN PROD CONSUMP","2352-5509","2352-5509","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","9,602","12.1","Q1","2.35","17.79"%,
"Sustainable Production and Consumption","SUSTAIN PROD CONSUMP","2352-5509","2352-5509","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","9,602","12.1","Q2","2.35","17.79"%,
