"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"EARTH-SCIENCE REVIEWS","EARTH-SCI REV","0012-8252","1872-6828","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","35,092","12.1","Q1","1.69","25.57"%,
"Sustainable Cities and Society","SUSTAIN CITIES SOC","2210-6707","2210-6715","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","36,111","11.7","Q1","1.85","12.06"%,
"Earth System Science Data","EARTH SYST SCI DATA","1866-3508","1866-3516","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","11,547","11.4","Q1","2.38","99.47"%,
"Journal of Cleaner Production","J CLEAN PROD","0959-6526","1879-1786","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","295,285","11.1","Q1","1.53","10.15"%,
"GREEN CHEMISTRY","GREEN CHEM","1463-9262","1463-9270","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","66,247","9.8","Q1","1.46","17.2"%,
"Geography and Sustainability","GEOGR SUSTAIN","2096-7438","2666-6839","GEOGRAPHY, PHYSICAL - ESCI","749","9.7","N/A","1.93","92.59"%,
"Geography and Sustainability","GEOGR SUSTAIN","2096-7438","2666-6839","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","749","9.7","N/A","1.93","92.59"%,
"Sustainable Materials and Technologies","SUSTAIN MATER TECHNO","2214-9937","2214-9937","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","4,223","9.6","Q1","1.39","11.08"%,
"Current Opinion in Green and Sustainable Chemistry","CURR OPIN GREEN SUST","2452-2236","2452-2236","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","4,243","9.3","Q1","1.2","18.54"%,
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","GEOGRAPHY, PHYSICAL - SCIE","28,597","9.1","Q1","2.28","36.39"%,
"Journal of Sustainable Tourism","J SUSTAIN TOUR","0966-9582","1747-7646","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI","12,146","9","Q2","1.67","15.44"%,
"Geoscience Frontiers","GEOSCI FRONT","1674-9871","1674-9871","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","8,945","8.9","Q1","2.43","96.93"%,
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","2190-5991","2190-6009","GERIATRICS & GERONTOLOGY - SCIE","8,828","8.9","Q1","1.92","67.24"%,
"IEEE Transactions on Sustainable Energy","IEEE T SUSTAIN ENERG","1949-3029","1949-3037","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","15,771","8.8","Q2","1.7","9.53"%,
"Renewable Energy","RENEW ENERG","0960-1481","1879-0682","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","105,268","8.7","Q2","1.4","10.21"%,
"Green Finance","GREEN FINANC","2643-1092","2643-1092","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","460","8.6","N/A","1.27","100"%,
"Sustainability-Science Practice and Policy","SUSTAINABILITY-SCI P","N/A","1548-7733","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","824","8.5","N/A","1.36","97.46"%,
"AGU Advances","AGU ADV","N/A","2576-604X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","626","8.4","Q1","1.86","74.26"%,
"ACS Sustainable Chemistry & Engineering","ACS SUSTAIN CHEM ENG","2168-0485","2168-0485","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","91,529","8.4","Q2","1.37","6.1"%,
"ChemSusChem","CHEMSUSCHEM","1864-5631","1864-564X","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","38,212","8.4","Q2","1.12","16.76"%,
"Earths Future","EARTHS FUTURE","N/A","2328-4277","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","6,849","8.2","Q1","1.71","71.43"%,
"Advances in Geo-Energy Research","ADV GEO-ENERGY RES","2207-9963","2208-598X","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","1,240","8.2","N/A","1.34","98.41"%,
"Sustainable Energy Technologies and Assessments","SUSTAIN ENERGY TECHN","2213-1388","2213-1396","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","14,387","8","Q2","1.14","4.69"%,
"Communications Earth & Environment","COMMUN EARTH ENVIRON","N/A","2662-4435","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,737","7.9","Q1","1.67","99.66"%,
"Immunity & Ageing","IMMUN AGEING","1742-4933","1742-4933","GERIATRICS & GERONTOLOGY - SCIE","2,018","7.9","Q1","1.41","99.28"%,
"AGING CELL","AGING CELL","1474-9718","1474-9726","GERIATRICS & GERONTOLOGY - SCIE","16,286","7.8","Q1","1.53","67.3"%,
"Materials Today Sustainability","MATER TODAY SUSTAIN","2589-2347","2589-2347","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","843","7.8","Q2","0.92","5.86"%,
"Journal of the American Medical Directors Association","J AM MED DIR ASSOC","1525-8610","1538-9375","GERIATRICS & GERONTOLOGY - SCIE","16,998","7.6","Q1","1.44","19.6"%,
"Petroleum Exploration and Development","PETROL EXPLOR DEV+","2096-4803","1876-3804","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","8,124","7.5","Q1","1.37","94.23"%,
"ENGINEERING GEOLOGY","ENG GEOL","0013-7952","1872-6917","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","31,671","7.4","Q1","1.86","12"%,
"Aging and Disease","AGING DIS","2152-5250","2152-5250","GERIATRICS & GERONTOLOGY - SCIE","5,797","7.4","Q1","1.36","99.49"%,
"Earth System Dynamics","EARTH SYST DYNAM","2190-4979","2190-4987","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","3,060","7.3","Q1","1.76","99.52"%,
"Agronomy for Sustainable Development","AGRON SUSTAIN DEV","1774-0746","1773-0155","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","9,598","7.3","Q2","1.15","50.21"%,
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","AM J GERIAT PSYCHIAT","1064-7481","1545-7214","GERIATRICS & GERONTOLOGY - SCIE","9,697","7.2","Q1","1.58","15.98"%,
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","AM J GERIAT PSYCHIAT","1064-7481","1545-7214","GERONTOLOGY - SSCI","9,697","7.2","Q1","1.58","15.98"%,
"Earth Systems and Environment","EARTH SYST ENVIRON","2509-9426","2509-9434","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","1,568","7.2","N/A","1.39","29"%,
"Current Opinion in Environmental Sustainability","CURR OPIN ENV SUST","1877-3435","1877-3443","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","7,952","7.2","Q2","0.8","40.95"%,
"Advanced Sustainable Systems","ADV SUSTAIN SYST","2366-7486","2366-7486","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","3,518","7.1","Q2","0.91","17.66"%,
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","GERIATRICS & GERONTOLOGY - SCIE","10,184","7","Q1","1.24","30.88"%,
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","GERONTOLOGY - SSCI","10,184","7","Q1","1.24","30.88"%,
"Innovation in Aging","INNOV AGING","N/A","2399-5300","GERIATRICS & GERONTOLOGY - SCIE","1,826","7","Q1","0.87","92.94"%,
"Innovation in Aging","INNOV AGING","N/A","2399-5300","GERONTOLOGY - SSCI","1,826","7","Q1","0.87","92.94"%,
"AGE AND AGEING","AGE AGEING","0002-0729","1468-2834","GERIATRICS & GERONTOLOGY - SCIE","18,683","6.7","Q1","1.97","37.1"%,
"Landslides","LANDSLIDES","1612-510X","1612-5118","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","11,775","6.7","Q1","1.58","19.32"%,
"GIScience & Remote Sensing","GISCI REMOTE SENS","1548-1603","1943-7226","GEOGRAPHY, PHYSICAL - SCIE","2,965","6.7","Q1","1.35","45.24"%,
"Green Chemistry Letters and Reviews","GREEN CHEM LETT REV","1751-8253","1751-7192","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","2,260","6.6","Q2","0.72","93.79"%,
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","1466-822X","1466-8238","GEOGRAPHY, PHYSICAL - SCIE","17,660","6.4","Q1","1.59","22.78"%,
"Journal of Hydrology","J HYDROL","0022-1694","1879-2707","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","86,781","6.4","Q1","1.54","14.35"%,
"HYDROLOGY AND EARTH SYSTEM SCIENCES","HYDROL EARTH SYST SC","1027-5606","1607-7938","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","27,928","6.3","Q1","1.48","98.53"%,
"JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","J AM GERIATR SOC","0002-8614","1532-5415","GERIATRICS & GERONTOLOGY - SCIE","39,967","6.3","Q1","1.47","8.06"%,
"JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","J AM GERIATR SOC","0002-8614","1532-5415","GERONTOLOGY - SSCI","39,967","6.3","Q1","1.47","8.06"%,
"Progress in Disaster Science","PROG DISASTER SCI","2590-0617","2590-0617","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","1,150","6.3","N/A","1.28","93.5"%,
"European Review of Aging and Physical Activity","EUR REV AGING PHYS A","1813-7253","1861-6909","GERIATRICS & GERONTOLOGY - SCIE","1,030","6.3","Q1","1.13","100"%,
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","1079-5014","1758-5368","GERIATRICS & GERONTOLOGY - SCIE","14,789","6.2","Q1","2.08","14.22"%,
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","1079-5014","1758-5368","GERONTOLOGY - SSCI","14,789","6.2","Q1","2.08","14.22"%,
"ROCK MECHANICS AND ROCK ENGINEERING","ROCK MECH ROCK ENG","0723-2632","1434-453X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","22,072","6.2","Q1","1.64","11.96"%,
"CATENA","CATENA","0341-8162","1872-6887","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","30,616","6.2","Q1","1.56","9.47"%,
"Gondwana Research","GONDWANA RES","1342-937X","1878-0571","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","19,294","6.1","Q1","1.38","11.09"%,
"Sustainability Science","SUSTAIN SCI","1862-4065","1862-4057","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","6,554","6","Q2","0.99","59.31"%,
"Sustainable Chemistry and Pharmacy","SUSTAIN CHEM PHARM","N/A","2352-5541","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","3,232","6","Q2","0.86","5.01"%,
"JOURNAL OF INDUSTRIAL ECOLOGY","J IND ECOL","1088-1980","1530-9290","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","9,153","5.9","Q3","0.94","40.7"%,
"GEOLOGY","GEOLOGY","0091-7613","1943-2682","GEOLOGY - SCIE","44,347","5.8","Q1","2.78","39.2"%,
"Journal of Nutrition Health & Aging","J NUTR HEALTH AGING","1279-7707","1760-4788","GERIATRICS & GERONTOLOGY - SCIE","8,794","5.8","Q2","1.15","10.91"%,
"Advanced Energy and Sustainability Research","ADV ENERG SUST RES","2699-9412","2699-9412","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","1,230","5.8","N/A","0.62","75.69"%,
"GERONTOLOGIST","GERONTOLOGIST","0016-9013","1758-5341","GERONTOLOGY - SSCI","16,744","5.7","Q1","1.73","19.27"%,
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","1365-8816","1362-3087","GEOGRAPHY, PHYSICAL - SCIE","8,901","5.7","Q1","1.42","13.7"%,
"Science China-Earth Sciences","SCI CHINA EARTH SCI","1674-7313","1869-1897","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","9,750","5.7","Q1","1.11","3.36"%,
"GeroScience","GEROSCIENCE","2509-2715","2509-2723","GERIATRICS & GERONTOLOGY - SCIE","3,092","5.6","Q2","1.26","36.96"%,
"INTERNATIONAL JOURNAL OF COAL GEOLOGY","INT J COAL GEOL","0166-5162","1872-7840","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","17,352","5.6","Q1","1.09","15.07"%,
"INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY","INT J SUST DEV WORLD","1350-4509","1745-2627","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","3,610","5.6","Q3","0.97","11.06"%,
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","IEEE J-STARS","1939-1404","2151-1535","GEOGRAPHY, PHYSICAL - SCIE","23,986","5.5","Q1","1.12","97.64"%,
"Global Sustainability","GLOB SUSTAIN","N/A","2059-4798","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","690","5.5","N/A","0.77","100"%,
"Energy for Sustainable Development","ENERGY SUSTAIN DEV","0973-0826","2352-4669","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","5,166","5.5","Q3","0.76","16.92"%,
"Natural Resources Research","NAT RESOUR RES","1520-7439","1573-8981","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","4,392","5.4","Q1","1.44","3.94"%,
"COMPUTERS AND GEOTECHNICS","COMPUT GEOTECH","0266-352X","1873-7633","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","19,909","5.3","Q1","1.32","8.79"%,
"MECHANISMS OF AGEING AND DEVELOPMENT","MECH AGEING DEV","0047-6374","1872-6216","GERIATRICS & GERONTOLOGY - SCIE","7,649","5.3","Q2","1.02","26.89"%,
"Cryosphere","CRYOSPHERE","1994-0416","1994-0424","GEOGRAPHY, PHYSICAL - SCIE","12,319","5.2","Q1","1.47","98.9"%,
"Cryosphere","CRYOSPHERE","1994-0416","1994-0424","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","12,319","5.2","Q1","1.47","98.9"%,
"GEOTEXTILES AND GEOMEMBRANES","GEOTEXT GEOMEMBRANES","0266-1144","1879-3584","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","7,360","5.2","Q1","1.47","2.83"%,
"GEOPHYSICAL RESEARCH LETTERS","GEOPHYS RES LETT","0094-8276","1944-8007","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","133,531","5.2","Q1","1.32","29.41"%,
"GLOBAL BIOGEOCHEMICAL CYCLES","GLOBAL BIOGEOCHEM CY","0886-6236","1944-9224","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","17,494","5.2","Q1","1.25","31.77"%,
"LANDSCAPE ECOLOGY","LANDSCAPE ECOL","0921-2973","1572-9761","GEOGRAPHY, PHYSICAL - SCIE","13,530","5.2","Q1","1.18","29.84"%,
"LANDSCAPE ECOLOGY","LANDSCAPE ECOL","0921-2973","1572-9761","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","13,530","5.2","Q1","1.18","29.84"%,
"Aging-US","AGING-US","1945-4589","N/A","GERIATRICS & GERONTOLOGY - SCIE","28,970","5.2","Q2","0.97","95.73"%,
"JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES","J GERONTOL A-BIOL","1079-5006","1758-535X","GERIATRICS & GERONTOLOGY - SCIE","27,186","5.1","Q2","1.49","21.34"%,
"JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES","J GERONTOL A-BIOL","1079-5006","1758-535X","GERONTOLOGY - SSCI","27,186","5.1","Q1","1.49","21.34"%,
"Geoscientific Model Development","GEOSCI MODEL DEV","1991-959X","1991-9603","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","18,968","5.1","Q1","1.47","99.32"%,
"Journal of Aging & Social Policy","J AGING SOC POLICY","0895-9420","1545-0821","GERONTOLOGY - SSCI","1,533","5.1","Q1","1.26","9.27"%,
"Geomechanics for Energy and the Environment","GEOMECH ENERGY ENVIR","2352-3808","2352-3808","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","886","5.1","Q1","1.17","28.48"%,
"International Journal of Digital Earth","INT J DIGIT EARTH","1753-8947","1753-8955","GEOGRAPHY, PHYSICAL - SCIE","2,967","5.1","Q1","1.15","51.83"%,
"PERMAFROST AND PERIGLACIAL PROCESSES","PERMAFROST PERIGLAC","1045-6740","1099-1530","GEOGRAPHY, PHYSICAL - SCIE","3,059","5","Q1","1.5","19.08"%,
"PERMAFROST AND PERIGLACIAL PROCESSES","PERMAFROST PERIGLAC","1045-6740","1099-1530","GEOLOGY - SCIE","3,059","5","Q1","1.5","19.08"%,
"npj Aging and Mechanisms of Disease","NPJ AGING MECH DIS","N/A","2056-3973","GERIATRICS & GERONTOLOGY - ESCI","672","5","N/A","1.37","100"%,
"Annals of GIS","ANN GIS","1947-5683","1947-5691","GEOGRAPHY, PHYSICAL - ESCI","857","5","N/A","1.17","100"%,
"Geomechanics and Geophysics for Geo-Energy and Geo-Resources","GEOMECH GEOPHYS GEO","2363-8419","2363-8427","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,617","5","Q1","1.14","7.39"%,
"International Journal of Disaster Risk Reduction","INT J DISAST RISK RE","2212-4209","2212-4209","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","14,385","5","Q1","1.12","24.48"%,
"Remote Sensing","REMOTE SENS-BASEL","N/A","2072-4292","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","112,665","5","Q1","1.02","99.43"%,
"Cleaner Environmental Systems","CLEAN ENVIRON SYST","2666-7894","2666-7894","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","351","5","N/A","0.78","89.69"%,
"GEOLOGICAL SOCIETY OF AMERICA BULLETIN","GEOL SOC AM BULL","0016-7606","1943-2674","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","21,854","4.9","Q1","1.46","8.61"%,
"MATURITAS","MATURITAS","0378-5122","1873-4111","GERIATRICS & GERONTOLOGY - SCIE","10,370","4.9","Q2","1.25","15.05"%,
"Biogeosciences","BIOGEOSCIENCES","1726-4170","1726-4189","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","24,290","4.9","Q1","1.21","99.18"%,
"Journal of Geographical Sciences","J GEOGR SCI","1009-637X","1861-9568","GEOGRAPHY, PHYSICAL - SCIE","7,087","4.9","Q1","1.18","0"%,
"JMIR Aging","JMIR AGING","N/A","2561-7605","GERIATRICS & GERONTOLOGY - ESCI","675","4.9","N/A","1.12","100"%,
"JMIR Aging","JMIR AGING","N/A","2561-7605","GERONTOLOGY - ESCI","675","4.9","N/A","1.12","100"%,
"ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY","ENVIRON DEV SUSTAIN","1387-585X","1573-2975","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","13,157","4.9","Q3","0.72","8"%,
"Sustainable Environment Research","SUSTAIN ENVIRON RES","2468-2039","2468-2039","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","1,748","4.9","Q3","0.58","100"%,
"Energy Sustainability and Society","ENERGY SUSTAIN SOC","2192-0567","2192-0567","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","1,448","4.9","Q3","0.5","99.26"%,
"Frontiers in Aging Neuroscience","FRONT AGING NEUROSCI","1663-4365","1663-4365","GERIATRICS & GERONTOLOGY - SCIE","21,458","4.8","Q2","0.97","99.41"%,
"Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards","GEORISK","1749-9518","1749-9526","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,032","4.8","Q1","0.95","11.82"%,
"Geoenvironmental Disasters","GEOENVIRONMENTAL DIS","N/A","2197-8670","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","844","4.8","N/A","0.84","100"%,
"Journal of Aging Research","J AGING RES","2090-2204","2090-2212","GERIATRICS & GERONTOLOGY - ESCI","1,481","4.7","N/A","0.33","100"%,
"Bulletin of Earthquake Engineering","B EARTHQ ENG","1570-761X","1573-1456","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","9,604","4.6","Q1","1.17","25.27"%,
"NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","NAT HAZARD EARTH SYS","1561-8633","1684-9981","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","12,459","4.6","Q1","0.95","97.15"%,
"GEOSYNTHETICS INTERNATIONAL","GEOSYNTH INT","1072-6349","1751-7613","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","2,901","4.5","Q1","1.06","0"%,
"Quaternary Science Advances","QUAT SCI ADV","2666-0334","2666-0334","GEOGRAPHY, PHYSICAL - ESCI","160","4.5","N/A","1.02","100"%,
"Quaternary Science Advances","QUAT SCI ADV","2666-0334","2666-0334","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","160","4.5","N/A","1.02","100"%,
"BIOGERONTOLOGY","BIOGERONTOLOGY","1389-5729","1573-6768","GERIATRICS & GERONTOLOGY - SCIE","3,361","4.5","Q2","0.82","17.45"%,
"China Geology","CHINA GEOL","2096-5192","2096-5192","GEOSCIENCES, MULTIDISCIPLINARY - ESCI","985","4.5","N/A","0.71","90.67"%,
"COMPUTERS & GEOSCIENCES","COMPUT GEOSCI-UK","0098-3004","1873-7803","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","15,212","4.4","Q1","0.84","20.6"%,
"Energy Ecology and Environment","ENERGY ECOL ENVIRON","2363-7692","2363-8338","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","1,005","4.4","N/A","0.8","15.75"%,
"Journal of Sustainable Cement-Based Materials","J SUSTAIN CEM-BASED","2165-0373","2165-0381","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","1,061","4.4","Q3","0.7","2.67"%,
"Climate of the Past","CLIM PAST","1814-9324","1814-9332","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","6,388","4.3","Q1","1.05","98.47"%,
"Journal of Sustainable Finance & Investment","J SUSTAIN FINANC INV","2043-0795","2043-0809","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","1,613","4.3","N/A","0.9","12.98"%,
"Green Processing and Synthesis","GREEN PROCESS SYNTH","2191-9542","2191-9550","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","1,794","4.3","Q3","0.59","95.58"%,
"Clean Technologies and Environmental Policy","CLEAN TECHNOL ENVIR","1618-954X","1618-9558","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE","6,679","4.3","Q3","0.58","10.36"%,
"Recycling","RECYCLING-BASEL","N/A","2313-4321","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI","1,185","4.3","N/A","0.5","99"%,
"MARINE AND PETROLEUM GEOLOGY","MAR PETROL GEOL","0264-8172","1873-4073","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","23,904","4.2","Q1","1.17","13.11"%,
"NEUROBIOLOGY OF AGING","NEUROBIOL AGING","0197-4580","1558-1497","GERIATRICS & GERONTOLOGY - SCIE","25,975","4.2","Q2","1.08","29.95"%,
"Geomatics Natural Hazards & Risk","GEOMAT NAT HAZ RISK","1947-5705","1947-5713","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","3,800","4.2","Q1","1.02","98.48"%,
