"Journal Data Filtered By:  Selected Categories: ENGINEERING, AEROSPACE;ENGINEERING, BIOMEDICAL;ENGINEERING, CHEMICAL;ENGINEERING, CIVIL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Engineering Construction and Architectural Management","ENG CONSTR ARCHIT MA","0969-9988","1365-232X","ENGINEERING, CIVIL - SCIE","5,450","4.1","Q2","0.72","2.64"%,
"Tissue Engineering Part A","TISSUE ENG PT A","1937-3341","1937-335X","ENGINEERING, BIOMEDICAL - SCIE","9,569","4.1","Q2","0.71","4.47"%,
"KONA Powder and Particle Journal","KONA POWDER PART J","0288-4534","2187-5537","ENGINEERING, CHEMICAL - SCIE","885","4.1","Q2","0.33","100"%,
"Journal of Neural Engineering","J NEURAL ENG","1741-2560","1741-2552","ENGINEERING, BIOMEDICAL - SCIE","11,660","4","Q2","0.95","30.11"%,
"Biomedical Materials","BIOMED MATER","1748-6041","1748-605X","ENGINEERING, BIOMEDICAL - SCIE","5,962","4","Q2","0.72","12.77"%,
"Biomass Conversion and Biorefinery","BIOMASS CONVERS BIOR","2190-6815","2190-6823","ENGINEERING, CHEMICAL - SCIE","9,922","4","Q2","0.55","6.84"%,
"MARINE STRUCTURES","MAR STRUCT","0951-8339","1873-4170","ENGINEERING, CIVIL - SCIE","5,083","3.9","Q2","1.23","16.36"%,
"Education for Chemical Engineers","EDUC CHEM ENG","N/A","1749-7728","ENGINEERING, CHEMICAL - SCIE","642","3.9","Q2","1.09","17.32"%,
"Biochemical Engineering Journal","BIOCHEM ENG J","1369-703X","1873-295X","ENGINEERING, CHEMICAL - SCIE","13,703","3.9","Q2","0.78","8.87"%,
"Journal of the Mechanical Behavior of Biomedical Materials","J MECH BEHAV BIOMED","1751-6161","1878-0180","ENGINEERING, BIOMEDICAL - SCIE","18,823","3.9","Q2","0.77","18.91"%,
"JOURNAL OF MICROENCAPSULATION","J MICROENCAPSUL","0265-2048","1464-5246","ENGINEERING, CHEMICAL - SCIE","3,627","3.9","Q2","0.71","0"%,
"JOURNAL OF SUPERCRITICAL FLUIDS","J SUPERCRIT FLUID","0896-8446","1872-8162","ENGINEERING, CHEMICAL - SCIE","13,956","3.9","Q2","0.64","7.49"%,
"CHEMICAL ENGINEERING RESEARCH & DESIGN","CHEM ENG RES DES","0263-8762","1744-3563","ENGINEERING, CHEMICAL - SCIE","18,630","3.9","Q2","0.62","8.34"%,
"Current Opinion in Biomedical Engineering","CURR OPIN BIOMED ENG","2468-4511","2468-4511","ENGINEERING, BIOMEDICAL - SCIE","1,419","3.9","Q2","0.61","34.21"%,
"Reaction Chemistry & Engineering","REACT CHEM ENG","2058-9883","2058-9883","ENGINEERING, CHEMICAL - SCIE","3,488","3.9","Q2","0.61","18.36"%,
"Biomedical Engineering Online","BIOMED ENG ONLINE","N/A","1475-925X","ENGINEERING, BIOMEDICAL - SCIE","5,466","3.9","Q2","0.6","99.68"%,
"International Journal of Greenhouse Gas Control","INT J GREENH GAS CON","1750-5836","1878-0148","ENGINEERING, CHEMICAL - SCIE","13,164","3.9","Q2","0.57","33.04"%,
"International Journal of Pavement Engineering","INT J PAVEMENT ENG","1029-8436","1477-268X","ENGINEERING, CIVIL - SCIE","6,241","3.8","Q2","1.03","4.7"%,
"ANNALS OF BIOMEDICAL ENGINEERING","ANN BIOMED ENG","0090-6964","1573-9686","ENGINEERING, BIOMEDICAL - SCIE","13,911","3.8","Q2","0.77","21.77"%,
"MATERIALS AND STRUCTURES","MATER STRUCT","1359-5997","1871-6873","ENGINEERING, CIVIL - SCIE","16,983","3.8","Q2","0.73","29.1"%,
"Buildings","BUILDINGS-BASEL","N/A","2075-5309","ENGINEERING, CIVIL - SCIE","8,549","3.8","Q2","0.72","99.65"%,
"BIOPROCESS AND BIOSYSTEMS ENGINEERING","BIOPROC BIOSYST ENG","1615-7591","1615-7605","ENGINEERING, CHEMICAL - SCIE","6,788","3.8","Q2","0.66","7.77"%,
"Chinese Journal of Chemical Engineering","CHINESE J CHEM ENG","1004-9541","2210-321X","ENGINEERING, CHEMICAL - SCIE","9,468","3.8","Q2","0.51","1.42"%,
"Structure and Infrastructure Engineering","STRUCT INFRASTRUCT E","1573-2479","1744-8980","ENGINEERING, CIVIL - SCIE","5,063","3.7","Q2","0.81","9.56"%,
"IEEE Transactions on Medical Robotics and Bionics","IEEE T MED ROBOT BIO","N/A","2576-3202","ENGINEERING, BIOMEDICAL - ESCI","894","3.7","N/A","0.75","18.61"%,
"Road Materials and Pavement Design","ROAD MATER PAVEMENT","1468-0629","2164-7402","ENGINEERING, CIVIL - SCIE","5,965","3.7","Q2","0.74","4.64"%,
"JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","J MATER SCI-MATER M","0957-4530","1573-4838","ENGINEERING, BIOMEDICAL - SCIE","12,343","3.7","Q2","0.71","72.11"%,
"AICHE JOURNAL","AICHE J","0001-1541","1547-5905","ENGINEERING, CHEMICAL - SCIE","30,157","3.7","Q2","0.61","9.67"%,
"IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE","IEEE AERO EL SYS MAG","0885-8985","1557-959X","ENGINEERING, AEROSPACE - SCIE","2,164","3.6","Q1","0.96","4.52"%,
"Journal of Bridge Engineering","J BRIDGE ENG","1084-0702","1943-5592","ENGINEERING, CIVIL - SCIE","8,183","3.6","Q2","0.8","1.1"%,
"International Journal of Structural Stability and Dynamics","INT J STRUCT STAB DY","0219-4554","1793-6764","ENGINEERING, CIVIL - SCIE","4,587","3.6","Q2","0.78","0.75"%,
"PLASMA CHEMISTRY AND PLASMA PROCESSING","PLASMA CHEM PLASMA P","0272-4324","1572-8986","ENGINEERING, CHEMICAL - SCIE","3,845","3.6","Q2","0.72","9.35"%,
"Tissue Engineering and Regenerative Medicine","TISSUE ENG REGEN MED","1738-2696","2212-5469","ENGINEERING, BIOMEDICAL - SCIE","1,768","3.6","Q3","0.71","11.32"%,
"JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION","J BIOMAT SCI-POLYM E","0920-5063","1568-5624","ENGINEERING, BIOMEDICAL - SCIE","5,918","3.6","Q3","0.6","0.46"%,
"ACTA ASTRONAUTICA","ACTA ASTRONAUT","0094-5765","1879-2030","ENGINEERING, AEROSPACE - SCIE","17,127","3.5","Q1","1.23","11.87"%,
"Smart Structures and Systems","SMART STRUCT SYST","1738-1584","1738-1991","ENGINEERING, CIVIL - SCIE","3,383","3.5","Q2","0.96","0"%,
"PHYSICS IN MEDICINE AND BIOLOGY","PHYS MED BIOL","0031-9155","1361-6560","ENGINEERING, BIOMEDICAL - SCIE","29,271","3.5","Q3","0.89","21.11"%,
"Biomechanics and Modeling in Mechanobiology","BIOMECH MODEL MECHAN","1617-7959","1617-7940","ENGINEERING, BIOMEDICAL - SCIE","4,720","3.5","Q3","0.79","30.34"%,
"Journal of Information Technology in Construction","J INF TECHNOL CONSTR","1874-4753","1874-4753","ENGINEERING, CIVIL - ESCI","1,320","3.5","N/A","0.71","97.78"%,
"Particuology","PARTICUOLOGY","1674-2001","2210-4291","ENGINEERING, CHEMICAL - SCIE","4,621","3.5","Q2","0.55","11.9"%,
"JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES","J LOSS PREVENT PROC","0950-4230","1873-3352","ENGINEERING, CHEMICAL - SCIE","9,819","3.5","Q2","0.54","8.22"%,
"Processes","PROCESSES","N/A","2227-9717","ENGINEERING, CHEMICAL - SCIE","20,202","3.5","Q2","0.46","99.55"%,
"PROCEEDINGS OF THE COMBUSTION INSTITUTE","P COMBUST INST","1540-7489","1873-2704","ENGINEERING, CHEMICAL - SCIE","16,383","3.4","Q2","0.95","29.67"%,
"IEEE Journal of Translational Engineering in Health and Medicine","IEEE J TRANSL ENG HE","2168-2372","2168-2372","ENGINEERING, BIOMEDICAL - SCIE","1,229","3.4","Q3","0.67","96.34"%,
"International Journal of Concrete Structures and Materials","INT J CONCR STRUCT M","1976-0485","2234-1315","ENGINEERING, CIVIL - SCIE","2,192","3.4","Q2","0.61","99.44"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS","J BIOMED MATER RES B","1552-4973","1552-4981","ENGINEERING, BIOMEDICAL - SCIE","11,419","3.4","Q3","0.58","9.73"%,
"INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES","INT J ADHES ADHES","0143-7496","1879-0127","ENGINEERING, CHEMICAL - SCIE","7,999","3.4","Q2","0.57","11.43"%,
"JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","J CHEM TECHNOL BIOT","0268-2575","1097-4660","ENGINEERING, CHEMICAL - SCIE","14,272","3.4","Q2","0.49","5.01"%,
"Advanced NanoBiomed Research","ADV NANOBIOMED RES","2699-9307","2699-9307","ENGINEERING, BIOMEDICAL - ESCI","481","3.4","N/A","0.38","71.62"%,
"Space: Science & Technology","SPACE-SCI TECH-CHINA","N/A","2692-7659","ENGINEERING, AEROSPACE - ESCI","116","3.3","N/A","0.79","85.07"%,
"Journal of Infrastructure Systems","J INFRASTRUCT SYST","1076-0342","1943-555X","ENGINEERING, CIVIL - SCIE","2,629","3.3","Q2","0.73","6.93"%,
"DRYING TECHNOLOGY","DRY TECHNOL","0737-3937","1532-2300","ENGINEERING, CHEMICAL - SCIE","9,814","3.3","Q2","0.66","3.11"%,
"Journal of Tissue Engineering and Regenerative Medicine","J TISSUE ENG REGEN M","1932-6254","1932-7005","ENGINEERING, BIOMEDICAL - SCIE","6,681","3.3","Q3","0.65","87.32"%,
"ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY","ADSORPTION","0929-5607","1572-8757","ENGINEERING, CHEMICAL - SCIE","3,965","3.3","Q2","0.42","23.08"%,
"Geomechanics and Engineering","GEOMECH ENG","2005-307X","2092-6219","ENGINEERING, CIVIL - SCIE","3,401","3.2","Q2","0.89","0"%,
"PHYSIOLOGICAL MEASUREMENT","PHYSIOL MEAS","0967-3334","1361-6579","ENGINEERING, BIOMEDICAL - SCIE","7,647","3.2","Q3","0.79","20.13"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","0140-0118","1741-0444","ENGINEERING, BIOMEDICAL - SCIE","7,749","3.2","Q3","0.7","11.13"%,
"JOURNAL OF MATERIALS IN CIVIL ENGINEERING","J MATER CIVIL ENG","0899-1561","1943-5533","ENGINEERING, CIVIL - SCIE","20,937","3.2","Q2","0.68","1.07"%,
"TRIBOLOGY LETTERS","TRIBOL LETT","1023-8883","1573-2711","ENGINEERING, CHEMICAL - SCIE","7,534","3.2","Q3","0.67","30.13"%,
"Structural Concrete","STRUCT CONCRETE","1464-4177","1751-7648","ENGINEERING, CIVIL - SCIE","4,870","3.2","Q2","0.64","13.45"%,
"POLYMER ENGINEERING AND SCIENCE","POLYM ENG SCI","0032-3888","1548-2634","ENGINEERING, CHEMICAL - SCIE","13,563","3.2","Q3","0.48","5.32"%,
"EUROPEAN CELLS & MATERIALS","EUR CELLS MATER","1473-2262","1473-2262","ENGINEERING, BIOMEDICAL - SCIE","3,432","3.1","Q3","0.91","1.5"%,
"JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT","J WATER RES PLAN MAN","0733-9496","1943-5452","ENGINEERING, CIVIL - SCIE","6,511","3.1","Q2","0.77","9.4"%,
"Fire Safety Journal","FIRE SAFETY J","0379-7112","1873-7226","ENGINEERING, CIVIL - SCIE","8,011","3.1","Q2","0.72","17.73"%,
"ADVANCES IN POLYMER TECHNOLOGY","ADV POLYM TECH","0730-6679","1098-2329","ENGINEERING, CHEMICAL - SCIE","3,188","3.1","Q3","0.4","99.16"%,
"Expert Review of Medical Devices","EXPERT REV MED DEVIC","1743-4440","1745-2422","ENGINEERING, BIOMEDICAL - SCIE","3,398","3.1","Q3","0.37","16.47"%,
"International Journal of Computer Assisted Radiology and Surgery","INT J COMPUT ASS RAD","1861-6410","1861-6429","ENGINEERING, BIOMEDICAL - SCIE","5,458","3","Q3","0.94","34.3"%,
"Frontiers of Structural and Civil Engineering","FRONT STRUCT CIV ENG","2095-2430","2095-2449","ENGINEERING, CIVIL - SCIE","1,991","3","Q2","0.67","7.74"%,
"Tissue Engineering Part C-Methods","TISSUE ENG PART C-ME","1937-3384","1937-3392","ENGINEERING, BIOMEDICAL - SCIE","3,410","3","Q3","0.54","7.79"%,
"JOURNAL OF FOOD PROCESS ENGINEERING","J FOOD PROCESS ENG","0145-8876","1745-4530","ENGINEERING, CHEMICAL - SCIE","5,824","3","Q3","0.51","1.69"%,
"Frontiers in Built Environment","FRONT BUILT ENVIRON","N/A","2297-3362","ENGINEERING, CIVIL - ESCI","2,077","3","N/A","0.49","99.5"%,
"JOURNAL OF BIOMATERIALS APPLICATIONS","J BIOMATER APPL","0885-3282","1530-8022","ENGINEERING, BIOMEDICAL - SCIE","3,879","2.9","Q3","0.51","2.78"%,
"ADSORPTION SCIENCE & TECHNOLOGY","ADSORPT SCI TECHNOL","0263-6174","2048-4038","ENGINEERING, CHEMICAL - SCIE","2,763","2.9","Q3","0.49","99"%,
"Architectural Engineering and Design Management","ARCHIT ENG DES MANAG","1745-2007","1752-7589","ENGINEERING, CIVIL - SCIE","991","2.9","Q2","0.48","9.03"%,
"Energy Sources Part A-Recovery Utilization and Environmental Effects","ENERG SOURCE PART A","1556-7036","1556-7230","ENGINEERING, CHEMICAL - SCIE","10,290","2.9","Q3","0.41","0.39"%,
"Earthquake Engineering and Engineering Vibration","EARTHQ ENG ENG VIB","1671-3664","1993-503X","ENGINEERING, CIVIL - SCIE","2,760","2.8","Q2","0.63","0"%,
"Journal of Hydro-environment Research","J HYDRO-ENVIRON RES","1570-6443","1876-4444","ENGINEERING, CIVIL - SCIE","1,319","2.8","Q2","0.59","7.02"%,
"Cellular and Molecular Bioengineering","CELL MOL BIOENG","1865-5025","1865-5033","ENGINEERING, BIOMEDICAL - SCIE","1,323","2.8","Q3","0.53","11.03"%,
"BIOMEDICAL MICRODEVICES","BIOMED MICRODEVICES","1387-2176","1572-8781","ENGINEERING, BIOMEDICAL - SCIE","3,791","2.8","Q3","0.52","11.63"%,
"Biomedical Engineering and Computational Biology","BIOMED ENG COMPUT BI","1179-5972","1179-5972","ENGINEERING, BIOMEDICAL - ESCI","85","2.8","N/A","0.43","85.71"%,
"SEPARATION SCIENCE AND TECHNOLOGY","SEP SCI TECHNOL","0149-6395","1520-5754","ENGINEERING, CHEMICAL - SCIE","9,926","2.8","Q3","0.4","1.28"%,
"Environmental Progress & Sustainable Energy","ENVIRON PROG SUSTAIN","1944-7442","1944-7450","ENGINEERING, CHEMICAL - SCIE","5,270","2.8","Q3","0.39","1.5"%,
"PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING","P I CIVIL ENG-MAR EN","1741-7597","1751-7737","ENGINEERING, CIVIL - SCIE","269","2.7","Q2","0.86","0"%,
"Natural Hazards Review","NAT HAZARDS REV","1527-6988","1527-6996","ENGINEERING, CIVIL - SCIE","2,364","2.7","Q2","0.67","9.21"%,
"JOURNAL OF HYDROINFORMATICS","J HYDROINFORM","1464-7141","1465-1734","ENGINEERING, CIVIL - SCIE","2,428","2.7","Q2","0.62","62.84"%,
"Regenerative Medicine","REGEN MED","1746-0751","1746-076X","ENGINEERING, BIOMEDICAL - SCIE","2,297","2.7","Q3","0.5","21.95"%,
"TRANSPORT IN POROUS MEDIA","TRANSPORT POROUS MED","0169-3913","1573-1634","ENGINEERING, CHEMICAL - SCIE","8,244","2.7","Q3","0.5","30.58"%,
"KOREAN JOURNAL OF CHEMICAL ENGINEERING","KOREAN J CHEM ENG","0256-1115","1975-7220","ENGINEERING, CHEMICAL - SCIE","8,330","2.7","Q3","0.45","0"%,
"International Journal of Chemical Engineering","INT J CHEM ENG","1687-806X","1687-8078","ENGINEERING, CHEMICAL - SCIE","1,415","2.7","Q3","0.37","99.47"%,
"Aerospace","AEROSPACE-BASEL","N/A","2226-4310","ENGINEERING, AEROSPACE - SCIE","3,071","2.6","Q1","0.89","99.51"%,
"JOURNAL OF GUIDANCE CONTROL AND DYNAMICS","J GUID CONTROL DYNAM","0731-5090","1533-3884","ENGINEERING, AEROSPACE - SCIE","12,309","2.6","Q1","0.82","8.86"%,
"JOURNAL OF EARTHQUAKE ENGINEERING","J EARTHQ ENG","1363-2469","1559-808X","ENGINEERING, CIVIL - SCIE","5,419","2.6","Q2","0.75","1.22"%,
"ADVANCES IN SPACE RESEARCH","ADV SPACE RES","0273-1177","1879-1948","ENGINEERING, AEROSPACE - SCIE","16,672","2.6","Q1","0.73","19.4"%,
"JOURNAL OF MARINE SCIENCE AND TECHNOLOGY","J MAR SCI TECH-JAPAN","0948-4280","1437-8213","ENGINEERING, CIVIL - SCIE","2,509","2.6","Q2","0.62","13.31"%,
"Ingegneria Sismica","ING SISMICA-ITAL","0393-1420","N/A","ENGINEERING, CIVIL - SCIE","310","2.6","Q2","0.61","0"%,
"Advances in Concrete Construction","ADV CONCR CONSTR","2287-5301","2287-531X","ENGINEERING, CIVIL - SCIE","1,302","2.6","Q2","0.53","0"%,
"Infrastructures","INFRASTRUCTURES-BASE","N/A","2412-3811","ENGINEERING, CIVIL - ESCI","1,303","2.6","N/A","0.53","99.78"%,
"WATER INTERNATIONAL","WATER INT","0250-8060","1941-1707","ENGINEERING, CIVIL - SCIE","2,776","2.6","Q2","0.51","28.31"%,
"ADVANCES IN STRUCTURAL ENGINEERING","ADV STRUCT ENG","1369-4332","2048-4011","ENGINEERING, CIVIL - SCIE","5,278","2.6","Q2","0.49","1.39"%,
"JOURNAL OF CHEMICAL AND ENGINEERING DATA","J CHEM ENG DATA","0021-9568","1520-5134","ENGINEERING, CHEMICAL - SCIE","24,683","2.6","Q3","0.49","3.1"%,
"FLUID PHASE EQUILIBRIA","FLUID PHASE EQUILIBR","0378-3812","1879-0224","ENGINEERING, CHEMICAL - SCIE","16,209","2.6","Q3","0.46","11.88"%,
"Regenerative Engineering and Translational Medicine","REGEN ENG TRANSL MED","2364-4133","2364-4141","ENGINEERING, BIOMEDICAL - ESCI","555","2.6","N/A","0.45","11.73"%,
"JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING","J IRRIG DRAIN ENG","0733-9437","1943-4774","ENGINEERING, CIVIL - SCIE","4,242","2.6","Q2","0.35","2.71"%,
"AIAA JOURNAL","AIAA J","0001-1452","1533-385X","ENGINEERING, AEROSPACE - SCIE","27,611","2.5","Q2","0.94","8.66"%,
"JOURNAL OF URBAN PLANNING AND DEVELOPMENT","J URBAN PLAN DEV","0733-9488","1943-5444","ENGINEERING, CIVIL - SCIE","2,304","2.5","Q3","0.62","2.01"%,
"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part A-Civil Engineering","ASCE-ASME J RISK U A","2376-7642","2376-7642","ENGINEERING, CIVIL - SCIE","1,009","2.5","Q3","0.59","3.59"%,
"JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES","J PERFORM CONSTR FAC","0887-3828","1943-5509","ENGINEERING, CIVIL - SCIE","4,533","2.5","Q3","0.51","1.25"%,
"Journal of Applied Biomaterials & Functional Materials","J APPL BIOMATER FUNC","N/A","2280-8000","ENGINEERING, BIOMEDICAL - SCIE","1,151","2.5","Q3","0.48","94.21"%,
"PARTICULATE SCIENCE AND TECHNOLOGY","PARTICUL SCI TECHNOL","0272-6351","1548-0046","ENGINEERING, CHEMICAL - SCIE","2,392","2.5","Q3","0.39","1.57"%,
"ChemEngineering","CHEMENGINEERING","N/A","2305-7084","ENGINEERING, CHEMICAL - ESCI","977","2.5","N/A","0.37","99.59"%,
"CHEMICAL ENGINEERING COMMUNICATIONS","CHEM ENG COMMUN","0098-6445","1563-5201","ENGINEERING, CHEMICAL - SCIE","4,819","2.5","Q3","0.36","0.2"%,
"International Journal of Architectural Heritage","INT J ARCHIT HERIT","1558-3058","1558-3066","ENGINEERING, CIVIL - SCIE","2,152","2.4","Q3","1.85","4.83"%,
"COASTAL ENGINEERING JOURNAL","COAST ENG J","2166-4250","1793-6292","ENGINEERING, CIVIL - SCIE","1,087","2.4","Q3","0.71","26.67"%,
"ARTIFICIAL ORGANS","ARTIF ORGANS","0160-564X","1525-1594","ENGINEERING, BIOMEDICAL - SCIE","5,257","2.4","Q3","0.61","19.01"%,
"JOURNAL OF BIOMECHANICS","J BIOMECH","0021-9290","1873-2380","ENGINEERING, BIOMEDICAL - SCIE","33,545","2.4","Q3","0.6","20.68"%,
"JOURNAL OF HYDRAULIC ENGINEERING","J HYDRAUL ENG","0733-9429","1943-7900","ENGINEERING, CIVIL - SCIE","12,312","2.4","Q3","0.58","3.76"%,
"JOURNAL OF AEROSPACE ENGINEERING","J AEROSPACE ENG","0893-1321","1943-5525","ENGINEERING, AEROSPACE - SCIE","2,943","2.4","Q2","0.54","2.05"%,
"JOURNAL OF AEROSPACE ENGINEERING","J AEROSPACE ENG","0893-1321","1943-5525","ENGINEERING, CIVIL - SCIE","2,943","2.4","Q3","0.54","2.05"%,
"STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS","STRUCT DES TALL SPEC","1541-7794","1541-7808","ENGINEERING, CIVIL - SCIE","2,692","2.4","Q3","0.52","2.29"%,
"Innovative Infrastructure Solutions","INNOV INFRASTRUCT SO","2364-4176","2364-4184","ENGINEERING, CIVIL - ESCI","1,687","2.4","N/A","0.51","2.12"%,
"JOURNAL OF HYDROLOGIC ENGINEERING","J HYDROL ENG","1084-0699","1943-5584","ENGINEERING, CIVIL - SCIE","5,956","2.4","Q3","0.5","4.08"%,
"Process Integration and Optimization for Sustainability","PROC INTEGR OPTIM","2509-4238","2509-4246","ENGINEERING, CHEMICAL - ESCI","449","2.4","N/A","0.37","5.03"%,
"Journal of Astronomical Telescopes Instruments and Systems","J ASTRON TELESC INST","2329-4124","2329-4221","ENGINEERING, AEROSPACE - SCIE","1,981","2.3","Q2","0.7","42.46"%,
"JOURNAL OF HYDRAULIC RESEARCH","J HYDRAUL RES","0022-1686","1814-2079","ENGINEERING, CIVIL - SCIE","5,111","2.3","Q3","0.55","12.99"%,
"ULTRASONIC IMAGING","ULTRASONIC IMAGING","0161-7346","1096-0910","ENGINEERING, BIOMEDICAL - SCIE","1,072","2.3","Q3","0.52","8.06"%,
"Journal of Transportation Engineering Part B-Pavements","J TRANSP ENG B-PAVE","N/A","2573-5438","ENGINEERING, CIVIL - SCIE","777","2.3","Q3","0.51","1.15"%,
"JOURNAL OF ADVANCED TRANSPORTATION","J ADV TRANSPORT","0197-6729","2042-3195","ENGINEERING, CIVIL - SCIE","5,543","2.3","Q3","0.48","99.27"%,
"AIMS Bioengineering","AIMS BIOENG","2375-1495","2375-1495","ENGINEERING, BIOMEDICAL - ESCI","315","2.3","N/A","0.46","96.97"%,
"JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY","J ADHES SCI TECHNOL","0169-4243","1568-5616","ENGINEERING, CHEMICAL - SCIE","5,853","2.3","Q3","0.41","2.5"%,
"Organogenesis","ORGANOGENESIS","1547-6278","1555-8592","ENGINEERING, BIOMEDICAL - SCIE","1,172","2.3","Q3","0.32","36.67"%,
"Navigation-Journal of the Institute of Navigation","NAVIGATION-US","0028-1522","2161-4296","ENGINEERING, AEROSPACE - SCIE","1,330","2.2","Q2","0.8","76.25"%,
"JOURNAL OF AIRCRAFT","J AIRCRAFT","0021-8669","1533-3868","ENGINEERING, AEROSPACE - SCIE","8,051","2.2","Q2","0.74","8.33"%,
"STRUCTURAL ENGINEERING AND MECHANICS","STRUCT ENG MECH","1225-4568","1598-6217","ENGINEERING, CIVIL - SCIE","5,284","2.2","Q3","0.71","0"%,
"Sports Biomechanics","SPORT BIOMECH","1476-3141","1752-6116","ENGINEERING, BIOMEDICAL - SCIE","2,339","2.2","Q3","0.69","10.52"%,
"Transportation Infrastructure Geotechnology","TRANSP INFRASTRUCT G","2196-7202","2196-7210","ENGINEERING, CIVIL - ESCI","458","2.2","N/A","0.56","8.05"%,
"JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING","J WATERW PORT COAST","0733-950X","1943-5460","ENGINEERING, CIVIL - SCIE","3,145","2.2","Q3","0.54","12.83"%,
"KSCE Journal of Civil Engineering","KSCE J CIV ENG","1226-7988","1976-3808","ENGINEERING, CIVIL - SCIE","8,083","2.2","Q3","0.48","0"%,
"MEDICAL ENGINEERING & PHYSICS","MED ENG PHYS","1350-4533","1873-4030","ENGINEERING, BIOMEDICAL - SCIE","7,335","2.2","Q3","0.48","16.77"%,
"Built Environment Project and Asset Management","BUILT ENVIRON PROJ A","2044-124X","2044-1258","ENGINEERING, CIVIL - ESCI","943","2.2","N/A","0.46","2.37"%,
"JOURNAL OF ADHESION","J ADHESION","0021-8464","1545-5823","ENGINEERING, CHEMICAL - SCIE","3,025","2.2","Q3","0.41","3.8"%,
"JOURNAL OF ENERGY ENGINEERING","J ENERG ENG","0733-9402","1943-7897","ENGINEERING, CIVIL - SCIE","1,425","2.2","Q3","0.39","0.44"%,
"Applied Bionics and Biomechanics","APPL BIONICS BIOMECH","1176-2322","1754-2103","ENGINEERING, BIOMEDICAL - SCIE","1,486","2.2","Q3","0.38","98.97"%,
"JOURNAL OF ENVIRONMENTAL ENGINEERING","J ENVIRON ENG","0733-9372","1943-7870","ENGINEERING, CIVIL - SCIE","6,422","2.2","Q3","0.34","4.7"%,
"LASERS IN MEDICAL SCIENCE","LASER MED SCI","0268-8921","1435-604X","ENGINEERING, BIOMEDICAL - SCIE","6,928","2.1","Q4","0.67","8.25"%,
"International Journal for Numerical Methods in Biomedical Engineering","INT J NUMER METH BIO","2040-7939","2040-7947","ENGINEERING, BIOMEDICAL - SCIE","2,455","2.1","Q4","0.64","16.46"%,
"European Journal of Environmental and Civil Engineering","EUR J ENVIRON CIV EN","1964-8189","2116-7214","ENGINEERING, CIVIL - SCIE","3,333","2.1","Q3","0.57","0.23"%,
"Brain-Computer Interfaces","BRAIN-COMPUT INTERFA","2326-263X","2326-2621","ENGINEERING, BIOMEDICAL - ESCI","396","2.1","N/A","0.44","9.76"%,
"Journal of Structural Integrity and Maintenance","J STRUCT INTEGR MAIN","2470-5314","2470-5322","ENGINEERING, CIVIL - ESCI","264","2.1","N/A","0.44","5.71"%,
"Journal of Transportation Engineering Part A-Systems","J TRANSP ENG A-SYST","2473-2907","2473-2893","ENGINEERING, CIVIL - SCIE","1,367","2.1","Q3","0.43","1.5"%,
"Healthcare Technology Letters","HEALTHC TECHNOL LETT","N/A","2053-3713","ENGINEERING, BIOMEDICAL - ESCI","673","2.1","N/A","0.42","75.41"%,
"Journal of Energetic Materials","J ENERG MATER","0737-0652","1545-8822","ENGINEERING, CHEMICAL - SCIE","1,063","2.1","Q3","0.34","0.58"%,
"CANADIAN JOURNAL OF CHEMICAL ENGINEERING","CAN J CHEM ENG","0008-4034","1939-019X","ENGINEERING, CHEMICAL - SCIE","8,318","2.1","Q3","0.32","4"%,
"CHEMICAL ENGINEERING & TECHNOLOGY","CHEM ENG TECHNOL","0930-7516","1521-4125","ENGINEERING, CHEMICAL - SCIE","7,235","2.1","Q3","0.29","17.44"%,
"Journal of Pipeline Systems Engineering and Practice","J PIPELINE SYST ENG","1949-1190","1949-1204","ENGINEERING, CIVIL - SCIE","1,071","2","Q3","0.46","0.37"%,
