"Journal Data Filtered By:  Selected Categories: ENGINEERING, AEROSPACE;ENGINEERING, BIOMEDICAL;ENGINEERING, CHEMICAL;ENGINEERING, CIVIL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Developments in the Built Environment","DEV BUILT ENVIRON","N/A","2666-1659","ENGINEERING, CIVIL - SCIE","515","8.2","Q1","1.23","92.86"%,
"Photoacoustics","PHOTOACOUSTICS","2213-5979","2213-5979","ENGINEERING, BIOMEDICAL - SCIE","2,551","7.9","Q1","2.14","88.57"%,
"Bio-Design and Manufacturing","BIO-DES MANUF","2096-5524","2522-8552","ENGINEERING, BIOMEDICAL - SCIE","1,163","7.9","Q1","1.14","16.67"%,
"Journal of Traffic and Transportation Engineering-English Edition","J TRAFFIC TRANSP ENG","2095-7564","2095-7564","ENGINEERING, CIVIL - ESCI","2,046","7.9","N/A","0.98","90.4"%,
"PROCESS SAFETY AND ENVIRONMENTAL PROTECTION","PROCESS SAF ENVIRON","0957-5820","1744-3598","ENGINEERING, CHEMICAL - SCIE","23,661","7.8","Q1","0.98","3.74"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","ENGINEERING, BIOMEDICAL - SCIE","21,417","7.7","Q1","1.63","16.08"%,
"Journal of CO2 Utilization","J CO2 UTIL","2212-9820","2212-9839","ENGINEERING, CHEMICAL - SCIE","13,659","7.7","Q1","1.18","16.01"%,
"Journal of Environmental Chemical Engineering","J ENVIRON CHEM ENG","2213-2929","2213-3437","ENGINEERING, CHEMICAL - SCIE","50,378","7.7","Q1","0.94","5.78"%,
"International Journal of Biomedical Imaging","INT J BIOMED IMAGING","1687-4188","1687-4196","ENGINEERING, BIOMEDICAL - ESCI","979","7.6","N/A","1.3","100"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","0933-3657","1873-2860","ENGINEERING, BIOMEDICAL - SCIE","6,556","7.5","Q1","1.27","18.99"%,
"FUEL PROCESSING TECHNOLOGY","FUEL PROCESS TECHNOL","0378-3820","1873-7188","ENGINEERING, CHEMICAL - SCIE","26,908","7.5","Q1","1.14","12.19"%,
"Bioengineering & Translational Medicine","BIOENG TRANSL MED","N/A","2380-6761","ENGINEERING, BIOMEDICAL - SCIE","2,144","7.4","Q1","1.46","65.47"%,
"Construction and Building Materials","CONSTR BUILD MATER","0950-0618","1879-0526","ENGINEERING, CIVIL - SCIE","203,973","7.4","Q1","1.43","7.1"%,
"JOURNAL OF MANAGEMENT IN ENGINEERING","J MANAGE ENG","0742-597X","1943-5479","ENGINEERING, CIVIL - SCIE","6,922","7.4","Q1","1.33","2.73"%,
"BUILDING AND ENVIRONMENT","BUILD ENVIRON","0360-1323","1873-684X","ENGINEERING, CIVIL - SCIE","53,430","7.4","Q1","1.23","15.95"%,
"Fuel","FUEL","0016-2361","1873-7153","ENGINEERING, CHEMICAL - SCIE","131,611","7.4","Q1","1.16","7.78"%,
