"Journal Data Filtered By:  Selected Categories: COMMUNICATION;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"IEEE Transactions on Intelligent Vehicles","IEEE T INTELL VEHICL","2379-8858","2379-8904","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,959","8.2","Q1","1.38","7.46"%,
"ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE","ENG APPL ARTIF INTEL","0952-1976","1873-6769","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,736","8","Q1","1.78","8.74"%,
"PATTERN RECOGNITION","PATTERN RECOGN","0031-3203","1873-5142","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","40,524","8","Q1","1.71","8.87"%,
"International Journal of Neural Systems","INT J NEURAL SYST","0129-0657","1793-6462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,233","8","Q1","1.18","8.02"%,
"JOURNAL OF COMMUNICATION","J COMMUN","0021-9916","1460-2466","COMMUNICATION - SSCI","10,672","7.9","Q1","2.46","26.02"%,
"NEURAL NETWORKS","NEURAL NETWORKS","0893-6080","1879-2782","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","25,292","7.8","Q1","1.61","16.76"%,
"Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","WIRES DATA MIN KNOWL","1942-4787","1942-4795","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,750","7.8","Q1","0.72","12.21"%,
"NETWORK-COMPUTATION IN NEURAL SYSTEMS","NETWORK-COMP NEURAL","0954-898X","1361-6536","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","791","7.8","Q1","0.54","4.76"%,
"POLITICAL COMMUNICATION","POLIT COMMUN","1058-4609","1091-7675","COMMUNICATION - SSCI","3,509","7.5","Q1","2.31","23.26"%,
"DECISION SUPPORT SYSTEMS","DECIS SUPPORT SYST","0167-9236","1873-5797","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","14,918","7.5","Q1","1.36","13.6"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","0933-3657","1873-2860","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,556","7.5","Q1","1.27","18.99"%,
"MACHINE LEARNING","MACH LEARN","0885-6125","1573-0565","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","31,819","7.5","Q1","0.85","42.26"%,
"Advanced Intelligent Systems","ADV INTELL SYST-GER","N/A","2640-4567","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,567","7.4","Q1","1.05","80.45"%,
"MINDS AND MACHINES","MIND MACH","0924-6495","1572-8641","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,388","7.4","Q1","0.75","67.03"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","1083-6101","1083-6101","COMMUNICATION - SSCI","5,312","7.2","Q1","2.27","60"%,
"INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS","INT J INTELL SYST","0884-8173","1098-111X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","9,545","7","Q1","1.25","80.85"%,
"Machine Learning-Science and Technology","MACH LEARN-SCI TECHN","N/A","2632-2153","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,535","6.8","Q2","1.18","99.36"%,
"EVOLUTIONARY COMPUTATION","EVOL COMPUT","1063-6560","1530-9304","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,808","6.8","Q2","1.04","12.7"%,
"International Journal of Advertising","INT J ADVERT","0265-0487","1759-3948","COMMUNICATION - SSCI","4,345","6.7","Q1","1.59","10.64"%,
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","1069-2509","1875-8835","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","906","6.5","Q2","1.28","5.56"%,
"Patterns","PATTERNS","2666-3899","2666-3899","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,449","6.5","N/A","1.03","93.37"%,
"IEEE INTELLIGENT SYSTEMS","IEEE INTELL SYST","1541-1672","1941-1294","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,407","6.4","Q2","1.4","4.57"%,
"COMMUNICATION RESEARCH","COMMUN RES","0093-6502","1552-3810","COMMUNICATION - SSCI","5,937","6.2","Q1","3.06","15.73"%,
"NEUROCOMPUTING","NEUROCOMPUTING","0925-2312","1872-8286","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","62,377","6","Q2","1.02","5.17"%,
"JOURNAL OF MACHINE LEARNING RESEARCH","J MACH LEARN RES","1532-4435","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","50,575","6","Q2","0.94","0"%,
"NEURAL COMPUTING & APPLICATIONS","NEURAL COMPUT APPL","0941-0643","1433-3058","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","31,576","6","Q2","0.94","9.35"%,
"Complex & Intelligent Systems","COMPLEX INTELL SYST","2199-4536","2198-6053","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,820","5.8","Q2","0.98","99.75"%,
"JOURNAL OF ADVERTISING","J ADVERTISING","0091-3367","1557-7805","COMMUNICATION - SSCI","7,310","5.7","Q1","1.67","16.56"%,
"Comunicar","COMUNICAR","1134-3478","1988-3293","COMMUNICATION - SSCI","2,113","5.6","Q1","3.04","100"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","0308-5961","1879-3258","COMMUNICATION - SSCI","3,907","5.6","Q1","1.56","14.84"%,
"International Journal of Machine Learning and Cybernetics","INT J MACH LEARN CYB","1868-8071","1868-808X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,549","5.6","Q2","0.79","3.7"%,
"International Journal of Multimedia Information Retrieval","INT J MULTIMED INF R","2192-6611","2192-662X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","565","5.6","Q2","0.74","13.75"%,
"Granular Computing","GRANULAR COMPUT","2364-4966","2364-4974","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,411","5.5","N/A","1.42","4.65"%,
"Digital Journalism","DIGIT JOURNAL","2167-0811","2167-082X","COMMUNICATION - SSCI","3,738","5.4","Q1","2.55","30.86"%,
"Cognitive Computation","COGN COMPUT","1866-9956","1866-9964","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,325","5.4","Q2","1.17","16"%,
"IEEE Transactions on Emerging Topics in Computational Intelligence","IEEE T EM TOP COMP I","2471-285X","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,185","5.3","Q2","0.98","6.18"%,
"CONNECTION SCIENCE","CONNECT SCI","0954-0091","1360-0494","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,293","5.3","Q2","0.94","63.64"%,
"APPLIED INTELLIGENCE","APPL INTELL","0924-669X","1573-7497","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","13,498","5.3","Q2","0.81","6.04"%,
"Social Media + Society","SOC MEDIA SOC","2056-3051","2056-3051","COMMUNICATION - SSCI","4,593","5.2","Q1","2.05","91.76"%,
"Egyptian Informatics Journal","EGYPT INFORM J","1110-8665","2090-4754","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,245","5.2","Q2","1.16","85.71"%,
"CAAI Transactions on Intelligence Technology","CAAI T INTELL TECHNO","2468-6557","2468-2322","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,015","5.1","Q2","0.93","79.56"%,
"PATTERN RECOGNITION LETTERS","PATTERN RECOGN LETT","0167-8655","1872-7344","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","19,051","5.1","Q2","0.87","9.72"%,
"ACM Transactions on Intelligent Systems and Technology","ACM T INTEL SYST TEC","2157-6904","2157-6912","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,967","5","Q2","2.48","0.79"%,
"NEW MEDIA & SOCIETY","NEW MEDIA SOC","1461-4448","1461-7315","COMMUNICATION - SSCI","11,748","5","Q1","2.11","28.04"%,
"HUMAN COMMUNICATION RESEARCH","HUM COMMUN RES","0360-3989","1468-2958","COMMUNICATION - SSCI","4,527","5","Q1","1.92","12.99"%,
"IEEE Transactions on Cognitive and Developmental Systems","IEEE T COGN DEV SYST","2379-8920","2379-8939","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,007","5","Q2","1.12","7.26"%,
"JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH","J ARTIF INTELL RES","1076-9757","1943-5037","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8,529","5","Q2","0.61","4.71"%,
"Mobile Media & Communication","MOB MEDIA COMMUN","2050-1579","2050-1587","COMMUNICATION - SSCI","980","4.9","Q1","1.89","18.87"%,
"Policy and Internet","POLICY INTERNET","1944-2866","1944-2866","COMMUNICATION - SSCI","1,040","4.9","Q1","1.78","39.81"%,
"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","INT J INF TECH DECIS","0219-6220","1793-6845","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,948","4.9","Q2","0.8","1.65"%,
"International Journal of Press-Politics","INT J PRESS/POLIT","1940-1612","1940-1620","COMMUNICATION - SSCI","1,873","4.8","Q1","1.88","26.49"%,
"Quantum Machine Intelligence","QUANT MACH INTELL","2524-4906","2524-4914","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","307","4.8","N/A","1.01","47.3"%,
"DATA MINING AND KNOWLEDGE DISCOVERY","DATA MIN KNOWL DISC","1384-5810","1573-756X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,555","4.8","Q2","0.88","41.25"%,
"IMAGE AND VISION COMPUTING","IMAGE VISION COMPUT","0262-8856","1872-8138","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,706","4.7","Q2","1.02","6.81"%,
"Fuzzy Optimization and Decision Making","FUZZY OPTIM DECIS MA","1568-4539","1573-2908","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,396","4.7","Q2","0.9","6.45"%,
"Memetic Computing","MEMET COMPUT","1865-9284","1865-9292","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,074","4.7","Q2","0.8","7.95"%,
